School,"City, State",SR key,NCAA key,NCAA School,NCAA Name,background-color
Grand Canyon,"Phoenix, Arizona",grand-canyon,grand-canyon,Grand Canyon,Grand Canyon University,#5F259F
Green Bay,"Green Bay, Wisconsin",green-bay,green-bay,Green Bay,"University of Wisconsin, Green Bay",#0F5640
Grinnell Pioneers,"Grinnell, Iowa",grinnell,grinnell,Grinnell,Grinnell College,#D22027
Grove City Wolverines,"Grove City, Pennsylvania",grove-city,grove-city,Grove City,Grove City College,#c60e30
Hamline Pipers,"St. Paul, Minnesota",hamline,hamline,Hamline,Hamline University,#a21934
Hampton,"Hampton, Virginia",hampton,hampton,Hampton,Hampton University,#0033A0
Hardin-Simmons Cowboys,"Abilene, Texas",hardin-simmons,hardin-simmons,Hardin-Simmons,Hardin-Simmons University,#5b2d83
Hartford Hawks,"West Hartford, Connecticut",hartford,hartford,Hartford,University of Hartford,#DA291C
Harvard,"Boston, Massachusetts",harvard,harvard,Harvard,Harvard University,#912235
Haskell (KS) Fighting Indians,"Lawrence, Kansas",haskell-indian-nations-institute,,,,
Hawaii,"Honolulu, Hawaii",hawaii,hawaii,Hawaii,"University of Hawaii, Manoa",#154734
High Point,"High Point, North Carolina",high-point,high-point,High Point,High Point University,#330072
Hiram Terriers,"Hiram, Ohio",hiram,hiram,Hiram,Hiram College,#004B8E
Hofstra,"Hempstead, New York",hofstra,hofstra,Hofstra,Hofstra University,#003594
Holy Cross,"Worcester, Massachusetts",holy-cross,holy-cross,Holy Cross,College of the Holy Cross,#582C83
Hope Flying Dutchmen,"Holland, Michigan",hope,hope,Hope,Hope College,#F46A1F
Houston,"Houston, Texas",houston,houston,Houston,University of Houston,#E51636
Houston Christian,"Houston, Texas",houston-baptist,houston-baptist,Houston Christian,Houston Christian University,#002F87
Howard,"Washington, D.C.",howard,howard,Howard,Howard University,#00263E
Idaho,"Moscow, Idaho",idaho,idaho,Idaho,University of Idaho,#010101
Idaho State,"Pocatello, Idaho",idaho-state,idaho-st,Idaho St.,Idaho State University,#F47920
Illinois,"Champaign, Illinois",illinois,illinois,Illinois,University of Illinois,#F15A22
Illinois State,"Normal, Illinois",illinois-state,illinois-st,Illinois St.,Illinois State University,#C8102E
Illinois Wesleyan Titans,"Bloomington, Illinois",illinois-wesleyan,ill-wesleyan,Ill. Wesleyan,Illinois Wesleyan University,#006747
Illinois-Chicago,"Chicago, Illinois",illinois-chicago,ill-chicago,Ill.-Chicago,University of Illinois-Chicago,#DB0032
Incarnate Word,"San Antonio, Texas",incarnate-word,incarnate-word,UIW,University of the Incarnate Word,
Indiana,"Bloomington, Indiana",indiana,indiana,Indiana,"Indiana University, Bloomington",#970310
Indiana State,"Terre Haute, Indiana",indiana-state,indiana-st,Indiana St.,Indiana State University,#1E437B
Iona,"New Rochelle, New York",iona,iona,Iona,Iona College,#6F2C3F
Iowa,"Iowa City, Iowa",iowa,iowa,Iowa,University of Iowa,#010101
Iowa State,"Ames, Iowa",iowa-state,iowa-st,Iowa St.,Iowa State University,#A6192E
IUPUI,"Indianapolis, Indiana",iupui,iupui,IUPUI,IUPUI,#9D2235
Jackson State,"Jackson, Mississippi",jackson-state,jackson-st,Jackson St.,Jackson State University,#041E42
Jacksonville,"Jacksonville, Florida",jacksonville,jacksonville,Jacksonville,Jacksonville University,#004E42
Jacksonville State,"Jacksonville, Alabama",jacksonville-state,jacksonville-st,Jacksonville St.,Jacksonville State University,#C8102E
James Madison,"Harrisonburg, Virginia",james-madison,james-madison,James Madison,James Madison University,#330072
John Carroll Blue Streaks,"University Heights, Ohio",john-carroll,john-carroll,John Carroll,John Carroll University,#131D2E
Kalamazoo Hornets,"Kalamazoo, Michigan",kalamazoo,kalamazoo,Kalamazoo,Kalamazoo College,#EC5619
Kansas,"Lawrence, Kansas",kansas,kansas,Kansas,University of Kansas,#1967B8
